ID,First Name,Last Name
k/kuminjo01,jonathan,kuminga
t/townska01,karl-anthony,towns
h/houstca01,caleb,houstan
e/exumda01,dante,exum
p/poweldw01,dwight,powell
l/livelde01,derrick,lively
i/irvinky01,kyrie,irving
k/klebima01,maxi,kleber
h/hardyja02,jaden,hardy
g/gaffoda01,daniel,gafford
d/doncilu01,luka,doncic
d/diakima01,mamadi,diakite
j/jacksgg01,gg,jackson
w/willivi01,vince,williams jr
w/watanyu01,yuta,watanabe
k/kennalu01,luke,kennard
r/rosede01,derrick,rose
c/clarkbr01,brandon,clarke
k/konchjo01,john,konchar
m/moranja01,ja,morant
l/laravja01,jake,laravia
j/jacksja02,jaren,jackson jr
s/smartma01,marcus,smart
a/aldamsa01,santi,aldama
i/ingrabr01,brandon,ingram
m/murphtr02,trey,murphy
a/alvarjo01,jose,alvarado
w/willizi01,zion,williamson
m/mccolcj01,cj,mccollum
h/hawkijo01,jordan,hawkins
j/joneshe01,herbert,jones
m/murrade01,dejounte,murray
r/robinje02,jeremiah,robinson-earl
r/ryanma01,matt,ryan
t/theisda01,daniel,theis
g/greenje02,jeff,green
h/holidaa01,aaron,holiday
b/brookdi01,dillon,brooks
v/vanvlfr01,fred,vanvleet
l/landajo01,jock,landale
g/greenja05,jalen,green
t/thompam01,amen,thompson
w/whitmca01,cam,whitmore
a/adamsst01,steven,adams
t/tateja01,jae’sean,tate
e/easonta01,tari,eason
s/sengual01,alperen,sengun
c/colliza01,zach,collins
b/bostobr01,brandon,boston jr
f/flynnma01,malachi,flynn
m/mamuksa01,sandro,mamukelashvili
b/bassech01,charles,bassey
p/paulch01,chris,paul
w/weslebl01,blake,wesley
v/vassede01,devin,vassell
j/jonestr01,tre,jones
c/champju02,julian,champagnie
b/barneha02,harrison,barnes
w/wembavi01,victor,wembanyama
j/johnske04,keldon,johnson
b/branhma01,malaki,branham
s/sochaje01,jeremy,sochan
w/washipj01,pj,washington
d/dinwisp01,spencer,dinwiddie
m/marshna01,naji,marshall
t/thompkl01,klay,thompson
l/lawsoaj01,aj,lawson
g/grimequ01,quentin,grimes
d/dunnkr01,kris,dunn
b/batumni01,nicolas,batum
j/jonesde02,derrick,jones jr
h/hardeja01,james,harden
j/joneska01,kai,jones
p/powelno01,norm,powell
l/leonaka01,kawhi,leonard
b/brownko01,kobe,brown
c/coffeam01,amir,coffey
t/tuckepj01,pj,tucker
z/zubaciv01,ivica,zubac
m/mannte01,terrance,mann
h/hylanbo01,bones,hyland
g/greendr01,draymond,green
m/meltode01,de’anthony,melton
a/anderky01,kyle,anderson
h/hieldbu01,buddy,hield
w/waterli01,lindy,waters
s/santogu01,gui,santos
j/jackstr02,trayce,jackson-davis
p/podzibr01,brandin,podzemski
w/wiggian01,andrew,wiggins
l/looneke01,kevon,looney
p/paytoga02,gary,payton ii
m/moodymo01,moses,moody
c/curryst01,steph,curry
j/jonesty01,tyus,jones
o/okogijo01,josh,okogie
b/bolbo01,bol,bol
o/onealro01,royce,oneal
m/morrimo01,monte,morris
p/plumlma01,mason,plumlee
d/duranke01,kevin,durant
a/allengr01,grayson,allen
l/leeda03,damion,lee
l/liddeej01,ej,liddel
l/littlna01,nassir,little
b/bealbr01,bradley,beal
n/nurkiju01,jusuf,nurkic
b/bookede01,devin,booker
f/foxde01,de'aaron,fox
h/huertke01,kevin,huerter
m/murrake02,keegan,murray
m/mcdanja01,jalen,mcdaniels
s/sabondo01,domantas,sabonis
l/lylestr01,trey,lyles
e/elliske01,keon,ellis
m/monkma01,malik,monk
d/derozde01,demar,derozan
m/mclaujo01,jordan,mclaughlin
l/lenal01,alex,len
r/robinor01,orlando,robinson
b/banede01,desmond,bane
c/collijo01,john,collins
c/clarkjo01,jordan,clarkson
s/sensabr01,brice,sensabaugh
h/hendrita01,taylor,hendricks
g/georgke01,keyonte,george
s/sextoco01,collin,sexton
k/kesslwa01,walker,kessler
m/markkla01,lauri,markannen
w/woodch01,christian,wood
c/chrisma02,max,christie
c/castlco01,colin,castleton
j/jamesle01,lebron,james
v/vandeja01,jarred,vanderbilt
d/davisan02,anthony,davis
h/hoodsja01,jalen,hood-schfino
l/lewisma05,maxwell,lewis
r/russeda01,de'angelo,russell
v/vincega01,gabe,vincent
h/hayesja02,jaxson,hayes
r/reaveau01,austin,reaves
h/hachiru01,rui,hachimura
r/reddica01,cam,reddish
b/bambamo01,mo,bamba
g/gilgesh01,shai,gilgeous-alexander
c/carusal01,alex,caruso
w/willija06,jalen,williams
h/holmgch01,chet,holmgren
d/diengou01,ousmane,dieng
d/dortlu01,lu,dort
w/willija07,jaylin,williams
w/willike04,kenrich,williams
w/wallaca01,cason,wallace
j/joeis01,isaiah,joe
h/harteis01,isaiah,hartenstein
w/wiggiaa01,aaron,wiggins
j/jordade01,deandre,jordan
w/westbru01,russell,westbrook
s/saricda01,dario,saric
c/cancavl01,vlatko,cancar
m/murraja01,jamal,murray
n/nnajize01,zeke,nnaji
p/pickeja02,jalen,pickett
s/strawju01,julian,strawther
j/jokicni01,nikola,jokic
w/watsope01,peyton,watson
b/braunch01,christian,braun
p/portemi01,michael,porter jr
g/gordoaa01,aaron,gordon
t/thybuma01,matisse,thybulle
g/grahade01,devonte,graham
r/reathdu01,duop,reath
a/avdijde01,deni,avdija
b/bantoda01,dalano,banton
g/grantje01,jerami,grant
w/williro04,rob,williams
c/camarto01,toumani,camara
m/murrakr01,kris,murray
h/hendesc01,scoot,henderson
a/aytonde01,deandre,ayton
w/walkeja01,jabari,walker
s/simonan01,anfernee,simons
s/sharpsh01,shaedon,sharpe
j/juzanjo01,johnny,juzang
m/mykhasv01,svi,myhaluk
e/eubandr01,drew,eubanks
m/minotjo01,josh,minott
r/reidna01,naz,reid
e/edwaran01,anthony,edwards
m/millele01,leonard,miller
m/mcdanja02,jaden,mcdaniels
c/conlemi01,mike,conley
i/inglejo01,joe,ingles
g/garzalu01,luka,garza
b/beysa01,saddiq,bey
v/valanjo01,jonas,valanciunas
v/vukcetr01,tristan,vukcevic
h/holmeri01,richaun,holmes
k/kispeco01,corey,kispret
k/kuzmaky01,kyle,kuzma
c/coulibi01,bilal,coulibaly
p/poolejo01,jordan,poole
b/baglema01,marvin,bagley iii
b/baldwpa01,patrick,baldwin jr
d/davisjo06,johnny,davis
b/brogdma01,malcolm,brogdon
s/stewais01,isaiah,stewart
f/fontesi01,simone,fontecchio
b/beaslma01,malik,beasley
r/reedpa01,paul,reed
h/harrito02,tobias,harris
m/metuch01,chimezie,metu
c/cunnica01,cade,cunningham
s/sassema01,marcus,sasser
t/thompau01,ausar,thompson
d/durenja01,jalen,duren
m/moorewe01,wendell,moore jr
i/iveyja01,jaden,ivey
f/fournev01,evan,fournier
h/hardati02,tim,hardaway
a/alexani01,nickeil,alexander-walker
g/goberru01,rudy,gobert
t/tatumja01,jayson,tatum
t/tillmxa01,xavier,tillman
h/harpero02,ron,harper
d/davisjd01,jd,davison
w/whitede01,derrick,white
q/quetane01,neemias,queta
p/peterdr01,drew,peterson
k/kornelu01,luke,kornet
h/holidjr01,jrue,holiday
p/pritcpa01,payton,pritchard
b/brownja02,jaylen,brown
p/porzikr01,kristaps,porzingis
w/walshjo01,jordan,walsh
b/brissos01,oshae,brissett
h/horfoal01,al,horford
h/hausesa01,sam,hauser
s/sprinja01,jaden,springer
j/jeffrda01,daquan,jeffries
t/toppija01,jacob,toppin
o/okekech01,chuma,okeke
a/achiupr01,precious,achiuwa
p/payneca01,cameron,payne
a/anunoog01,og,anunoby
b/bridgmi01,mikal,bridges
m/mcbrimi01,miles,mcbride
h/hartjo01,josh,hart
d/divindo01,donte,divincenzo
b/bateske01,keita,bates-diop
b/brunsja01,jalen,brunson
r/robinmi01,mitchell,robinson
s/simsje01,jericho,sims
r/randlju01,julius,randle
g/greenaj01,aj,green
t/trentga02,gary,trent jr
u/umudest01,stanley,umude
p/princta02,taurean,prince
w/wrighde01,delon,wright
l/livinch01,chris,livingston
l/lillada01,damian,lillard
j/jacksan01,andre,jackson jr
m/middlkh01,khris,middleton
l/lopezbr01,brook,lopez
c/connapa01,pat,connaughton
b/beaucma01,marjon,beauchamp
p/portibo01,bobby,portis
a/antetgi01,giannis,antetokounmpo
m/mitchdo01,donovan,mitchell
m/mobleev01,evan,mobley
a/allenja01,jarrett,allen
g/garlada01,darius,garland
w/wadede01,dean,wade
m/merrisa01,sam,merrill
s/strusma01,max,strus
n/niangge01,georges,niang
l/leverca01,caris,levert
j/jeromty01,ty,jerome
p/portecr01,craig,porter jr
b/batesem01,emoni,bates
i/isaacjo01,jonathan,isaac
s/suggsja01,jalen,suggs
w/wagnefr01,franz,wagner
c/cartewe01,wendell,carter jr
b/banchpa01,paolo,banchero
h/howarje01,jett,howard
b/blackan01,anthony,black
a/anthoco01,cole,anthony
b/bitadgo01,goga,bitadze
c/caldwke01,kentavious,caldwell-pope
w/wagnemo01,moritz,wagner
h/harriga01,gary,harris
q/queentr01,trevelin,queen
j/josepco01,cory,joseph
b/brownke03,kendall,brown
s/swideco01,cole,swider
j/johnsja01,james,johnson
j/jacksqu01,quenton,jackson
t/toppiob01,obi,toppin
s/siakapa01,pascal,siakam
m/mccontj01,t.j,mcconnell
n/nesmiaa01,aaron,nesmith
s/sheppbe01,ben,sheppard
w/walkeja02,jarace,walker
t/turnemy01,myles,turner
n/nembhan01,andrew,nembhard
m/mathube01,bennedict,mathurin
j/jacksis01,isaiah,jackson
e/embiijo01,joel,embiid
c/councri01,ricky,council iv
m/maxeyty01,tyrese,maxey
o/oubreke01,kelly,oubre jr
d/drumman01,andre,drummond
g/georgpa01,paul,george
m/martica02,caleb,martin
g/gordoer01,eric,gordon
l/lowryky01,kyle,lowry
m/martike04,kj,martin
d/dowtije01,jeff,dowtin
j/jacksre01,reggie,jackson
c/chrisjo01,josh,christopher
h/highsha01,haywood,highsmith
l/loveke01,kevin,love
b/bryanth01,thomas,bryant
b/burksal01,alec,burks
s/smithdr01,dru,smith
a/adebaba01,bam,adebayo
j/jaqueja01,jaime,jaquez jr
r/richajo01,josh,richardson
h/herroty01,tyler,herro
j/jovicni01,nikola,jovic
r/roziete01,terry,rozier
b/butleji01,jimmy,butler
r/robindu01,duncan,robinson
c/craigto01,torrey,craig
l/loftoke01,kenneth,lofton jr
s/smithja04,jalen,smith
s/sanogad01,adama,sanogo
w/willipa01,patrick,williams
b/bitimon01,onuralp,bitim
d/dosunay01,ayo,dosunmu
d/duartch01,chris,duarte
c/carteje01,devon,carter
p/phillju01,julian,phillips
w/whiteco01,coby,white
v/vucevni01,nikola,vucevic
l/lavinza01,zach,lavine
t/terryda01,dalen,terry
g/giddejo01,josh,giddey
b/balllo01,lonzo,ball
g/gueyemo02,mouhamed,gueye
k/krejcvi01,vit,krejci
l/lundyse01,seth,lundy
z/zelleco01,cody,zeller
o/okongon01,onyeka,okongwu
b/bufkiko01,kobe,bufkin
j/johnsja05,jalen,johnson
b/bogdabo01,bogdan,bogdanovic
h/huntede01,de’andre,hunter
n/nancela02,larry,nance jr
d/daniedy01,dyson,daniels
r/roddyda01,david,roddy
m/mathega01,garrison,mathews
c/capelca01,clint,capela
y/youngtr01,trae,young
s/simmobe01,ben,simmons
s/sharpda01,day’ron,sharpe
t/thomaca02,cam,thomas
w/willizi02,ziaire,williams
f/finnedo01,dorian,finney-smith
b/bogdabo02,bojan,bogdanovic
j/johnsca02,cameron,johnson
s/schrode01,dennis,schroder
c/clownno01,noah,clowney
w/whiteda01,dariq,whitehead
w/wilsoja03,jalen,wilson
m/miltosh01,shake,milton
c/claxtni01,nic,claxton
w/watfotr01,trendon,watford
j/johnske07,keon,johnson
o/olynyke01,kelly,olynyk
r/rhodeja01,jared,rhoden
q/quickim01,immanuel,quickley
t/templga01,garrett,temple
m/mitchda01,davion,mitchell
p/poeltja01,jakkob,poeltl
b/brownbr01,bruce,brown
d/dickgr01,gradey,dick
b/barrerj01,rj,barrett
k/kolokch01,christian,koloko
b/bouchch01,chris,boucher
a/agbajoc01,ochai,agbaji
b/barnesc01,scottie,barnes
w/willigr01,grant,williams
d/diabamo01,moussa,diabate
c/curryse01,seth,curry
g/gibsota01,raj,gibson
b/bridgmi02,miles,bridges
g/greenjo02,josh,green
m/micicva01,vasilije,micic
t/thorjt01,jt,thor
b/ballla01,lamelo,ball
m/millebr02,brandon,miller
s/smithni01,nick,smith jr
r/richani01,nick,richards
m/martico01,cody,martin
w/willima07,mark,williams
m/manntr01,tre,mann
b/butleja02,jared,bulter
g/gillan01,anthony,gill
