Player,Avg FPTS of Best 10
victor wembanyama,82.7
chet holmgren,64.7
brandon miller,51.8
amen thompson,51.1
ausar thompson,47.5
brandin podzemski,47.5
gg jackson,46.7
derrick lively,46.3
jaime jaquez jr,46.1
scoot henderson,45.8
trayce jackson-davis,44.7
keyonte george,44.3
duop reath,39.6
marcus sasser,39.2
vasilije micic,37.8
bilal coulibaly,36.4
cason wallace,35.5
cam whitmore,35.5
jordan hawkins,35.3
craig porter jr,35.2
kris murray,32.8
toumani camara,32.7
taylor hendricks,32.0
gradey dick,31.9
anthony black,28.8
brice sensabaugh,28.0
noah clowney,26.7
jarace walker,25.9
julian strawther,25.5
ben sheppard,25.1
nick smith jr,23.0
jalen wilson,22.8
ricky council iv,20.3
andre jackson jr,18.8
kobe brown,18.7
tristan vukcevic,17.1
kobe bufkin,15.8
gui santos,14.5
julian phillips,14.5
onuralp bitim,13.3
jalen pickett,9.7
mouhamed gueye,8.3
leonard miller,7.7
adama sanogo,6.3
jordan walsh,6.1
emoni bates,6.1
jett howard,6.0
chris livingston,5.7
colin castleton,5.0
jalen hood-schfino,4.7
jacob toppin,3.0
maxwell lewis,2.9
drew peterson,2.5
ej liddel,1.9
dariq whitehead,1.3
seth lundy,1.2
